ファイアエンブレム	Fire Emblem
Mシールド	Barrier
大陸の魔物退治	Creature Campaign
マルス	Marth
シーダ	Caeda
シーダ	Shiida
ジェイガン	Jeigan
ジェイガン	Jagen
カイン	Cain
アベル	Abel
ドーガ	Draug
ゴードン	Gordin
リフ	Wrys
オグマ	Ogma
バーツ	Barst
サジ	Bord
マジ	Cord
カシム	Castor
ダロス	Darros
ジュリアン	Julian
レナ	Lena
ナバール	Nabarl
ナバール	Navarre
マリク	Merric
マチス	Matthis
ハーディン	Hardin
ウルフ	Wolf
ザガロ	Sedgar
ロシェ	Roshea
ビラク	Vyland
ウェンデル	Wendell
リカード	Rickard
バヌトゥ	Bantu
シーザ	Caesar
ラディ	Radd
ロジャー	Roger
ジョルジュ	Jeorge
マリア	Maria
ミネルバ	Minerva
リンダ	Linde
ジェイク	Jake
ミディア	Midia
トムス	Dolph
ミシェラン	Macellan
トーマス	Tomas
ボア	Boah
ベック	Beck
アストリア	Astram
パオラ	Palla
カチュア	Catria
アラン	Arran
サムソン	Samson
チェイニー	Xane
エスト	Est
チキ	Tiki
ロレンス	Lorenz
エリス	Elice
ガトー	Gotoh
ジオル	Jiol
カミュ	Camus
ミシェイル	Michalis
ガーネフ	Gharnef
メディウス	Medeus
ガザック	Gazzak
ゴメス	Gomer
ハイマン	Reynard
ハイマン	Hyman
ベンソン	Bentheon
ムラク	Merach
マリオネス	Emereus
ハーマイン	Harmein
ジューコフ	Zharov
ショーゼン	Khozen
ボーゼン	Volzhin
ヒムラ	Heimler
ギガッシュ	Grigas
ホルサード	Hollstadt
モーゼス	Morzas
スターロン	Sternlin
オーダイン	Orridyon
ゼムセル	Xemcel
モロドフ	Malledus
ニーナ	Nyna
アカネイア	Archanea
アリティア	Altea
ドルーア	Dolhr
グラ	Gra
グルニア	Grust
マケドニア	Macedon
タリス	Talys
オレルアン	Aurelis
ペラティ	Pyrathi
カダイン	Khadein
カシミア	Chiasmir
ラーマン神殿	Fane of Raman
シグルド	Sigurd
アーダン	Arden
ノイッシュ	Naoise
アレク	Alec
オイフェ	Oifey
アゼル	Azelle
レックス	Lex
キュアン	Quan
エスリン	Ethlyn
フィン	Finn
ミデェール	Midir
エーディン	Edain
デュー	Dew
アイラ	Ayra
シャナン	Shannan
ディアドラ	Deirdre
ジャムカ	Jamke
ホリン	Chulainn
ラケシス	Raquesis
ベオウルフ	Beowolf
レヴィン	Lewyn
シルヴィア	Silvia
フュリー	Erinys
ティルテュ	Tailtiu
クロード	Claud
ブリギッド	Brigid
セリス	Seliph
ラクチェ	Larcei
ラドネイ	Creidne
スカサハ	Ulster
ロドルバン	Dalvin
ラナ	Lana
マナ	Muirne
デルムッド	Diarmuid
トリスタン	Tristan
レスター	Lester
ディムナ	Deimne
ユリア	Julia
アーサー	Arthur
アミッド	Amid
フィー	Fee
フェミナ	Hermina
ヨハン	Iuchar
ヨハルヴァ	Iucharba
パティ	Patty
デイジー	Daisy
リーフ	Leif
ナンナ	Nanna
ジャンヌ	Jeanne
アレス	Ares
リーン	Lene
レイリア	Laylea
ティニー	Tine
リンダ	Linda
ファバル	Febail
アサエロ	Asaello
セティ	Ced
ホーク	Hawk
ハンニバル	Hannibal
コープル	Coirpre
シャルロー	Charlot
アルテナ	Altena
レプトール	Reptor
ランゴバルト	Lombard
アルヴィス	Arvis
ガンドルフ	Munnir
デマジオ	DiMaggio
ゲラルド	Gerrard
バトゥ	Batur
キンボイス	Cimbaeth
エルトシャン	Eldigan
エリオット	Elliot
サンディマ	Sandima
マンフロイ	Manfroy
シャガール	Chagall
フィリップ	Philip
ボルドー	Bordeaux
ヴォルツ	Waltz
マクベス	Macbeth
クレメント	Clement
ザイン	Zane
ジャコバン	Jacoban
トラバント	Travant
パピヨン	Papillon
ピサール	Pizare
ドバール	Duvall
クブリ	Cuvuli
ディートバ	Dithorba
マイオス	Maios
パメラ	Pamela
ドノバン	Donovan
アンドレイ	Andre
レイミア	Lamia
ダッカー	Daccar
スレイダー	Slayder
マゴーネ	Magorn
ヴァハ	Vaha
ダナン	Danann
ハロルド	Harold
シュミット	Schmidt
ユリウス	Julius
ブルーム	Bloom
クトゥーゾフ	Kutuzof
ブラムセル	Bramsel
ジャバロー	Javarro
イシュトー	Ishtore
ライザ	Liza
ヴァンパ	Banba
フェトラ	Fotla
エリウ	Eriu
イシュタル	Ishtar
ムハマド	Muhammad
オーヴォ	Ovo
コルータ	Coulter
マイコフ	Maykov
アリオーン	Arion
カナッツ	Kanatz
ディスラー	Distler
ムーサー	Musar
ジュダ	Judah
ヒルダ	Hilda
リデール	Riddell
モリガン	Morrigan
ザガム	Zagam
ブリアン	Brian
スコピオ	Scipio
ロベルト	Roberto
ボイス	Boyce
ロダン	Rodan
ユフィール	Juphiel
フィッシャー	Fisher
ダゴン	Dagon
バラン	Baran
メング	Meng
ブレグ	Bleg
メイベル	Mabel
アインス	Mus
ツヴァイ	Bovis
ドライ	Tigris
フィーア	Lepus
フュンフ	Draco
ゼクス	Anguilla
ズイーベン	Equus
アハト	Ovis
ノイン	Simia
ツェーン	Gallus
エルフ	Canis
ツヴェルフ	Porcus
アズムール	Azmur
クルト	Kurth
バイロン	Byron
リング	Ring
フィラート	Filat
イーヴ	Yves
エヴァ	Eva
アルヴァ	Alva
マーニャ	Annand
ラーナ	Rahna
アイーダ	Aida
アンナ	Anna
パルマーク	Palmarch
フェリペ	Felipe
ロプトウス	Loptyr
フォルセティ	Forseti
ナーガ	Naga
バルド	Baldur
Baldr
ヘイム	Heim
ファラ	Fjalar
ネール	Neir
ウル	Ullur
トード	Thrud
ブラギ	Bragi
ヘズル	Hezul
オード	Od
ダイン	Dain
ノヴァ	Njörun
サラマンド	Salamand
マイラ	Maera
マナナン	Mananan
マリクル	Maricle
シギュン	Sigyn
ヴィクトル	Victor
エスニャ	Ethnia
イムカ	Imca
グラーニェ	Grainne
聖騎士誕生	Birth of a Crusader
精霊の森の少女	The Spirit Forest's Maiden
アグストリアの動乱	Crisis in Agustria
獅子王エルトシャン	Eldigan the Lionheart
空に舞う	Dance in the Skies
運命の扉	Threshold of Fate
光をつぐもの	Heir of Light
砂漠を越えて	Beyond the Desert
トラキアの竜騎士	The Dracoknights of Thracia
封印の剣	Sword of seal
烈火の剣	The Binding Blade
烈火	The Binding Blade
誰がために	For Whose Sake
光と闇と	Light and Darkness
最後の聖戦	The Final Holy War
ユグドラル	Jugdral
グランベル	Grannvale
バーハラ	Belhalla
シアルフィ	Chalphy
ヴェルトマー	Velthomer
ユングヴィ	Jungby
フリージ	Friege
ドズル	Dozel
エッダ	Edda
ヴェルダン	Verdane
エバンス	Evans
ジェノア	Genoa
マーファ	Marpha
アグストリア	Agustria
ノディオン	Nordion
ハイライン	Heirhein
アンフォニー	Anphony
マッキリー	Mackily
アグスティ	Agusty
マディノ	Madino
シルベール	Silvail
オーガヒル	Orgahil
ブラギの塔	Tower of Bragi
シレジア	Silesse
セイレーン	Sailane
トーヴェ	Thove
ザクソン	Zaxon
リューベック	Lubeck
イード砂漠	Yied Desert
フィノーラ	Phinora
イザーク	Isaach
ティルナノグ	Tirnanog
ガネーシャ	Ganeishire
ソファラ	Sophara
リボー	Rivough
ダーナ	Darna
メルゲン	Melgen
マンスター地方	Manster District
レンスター	Leonster
アルスター	Alster
コノート	Connaught
マンスター	Manster
トラキア	Thracia
ミーズ	Meath
カパトギア	Kapathogia
ルテキア	Luthecia
グルティア	Grutia
ミレトス	Miletos
ペルルーク	Perlucos
クロノス	Chronos
ラドス	Rados
ジュニアロード	Lord
ロードナイト	Knight Lord
プリンス	Prince
プリンセス	Princess
マスターナイト	Master Knight
ソシアルナイト	Cavalier
トルバドール	Troubadour
フリーナイト	Sword Knight
フォレストナイト	Ranger
フォレスト	Ranger
ランスナイト	Lance Knight
デュークナイト	Duke Knight
アクスナイト	Axe Knight
グレートナイト	Great Knight
アーチナイト	Bow Knight
ボウナイト	Bow Knight
アーマー	Armr Knight
ソードアーマー	Armored Sword
アクスアーマー	Armored Axe
ボウアーマー	Armored Bow
ジェネラル	General
将軍	General
ソードファイター	Myrmidon
ソードマスター	Swordmaster
フォーレスト	Hero
アクスファイター	Fighter
ウォーリア	Warrior
ボウファイター	Archer
スナイパー	Sniper
シーフ	Thief
シーフファイター	Rogue
バーバリアン	Barbarian
マウンテンシーフ	Brigand
パイレーツ	Pirate
ハンター	Hunter
ペガサスナイト	Pegasus Knight
ファルコンナイト	Falcon Knight
ドラゴンライダー	Dracorider
ドラゴンナイト	Wyvern Rider
ドラゴンマスター	Wyvern Lord
ダンサー	Dancer
マージ	Mage
ファイアマージ	Fire Mage
サンダーマージ	Thunder Mage
ウインドマージ	Wind Mage
マージナイト	Mage Knight
マージファイター	War Mage
バード	Bard
シャーマン	Shaman
セイジ	Sage
プリースト	Priest
ハイプリースト	High Priest
ビショップ	Bishop
シビリアン	Civilian
ダークマージ	Dark Mage
ダークビショップ	Dark Bishop
ダークプリンス	Dark Prince
バロン	Baron
クイーン	Queen
エンペラー	Emperor
ロングアーチ	Ballista
キラーアーチ	Killer Ballista
アイアンアーチ	Iron Ballista
グレートアーチ	Ballistician
ソルジャー	Soldier
ソードソルジャー	Sword Soldier
スピアソルジャー	Spear Soldier
アクスソルジャー	Axe Soldier
アーチャー	Archer
てつの剣	Iron Sword
鉄の剣	Iron Sword
ほそみの剣	Slim Sword
細見の剣	Slim Sword
とうぞくの剣	Thief's sword
盗賊の剣	Thief's sword
いのりの剣	Miracle sword
祈りの剣	Miracle sword
まもりの剣	Safeguard
守りの剣	Safeguard
バリアの剣	Barrier Blade
ほのおの剣	Flame Sword
炎の剣	Flame Sword
いかずちの剣	Lightning Sword
雷の剣	Lightning Sword
かぜの剣	Wind Sword
風の剣	Wind Sword
だいちの剣	Earth sword
大地の剣	Earth sword
ひかりの剣	Light Brand
光の剣	Light Brand
バサークの剣	Berserk edge
スリープの剣	Sleep edge
サイレスの剣	Silence edge
はがねの剣	Steel Sword
鋼の剣	Steel Sword
ゆうしゃの剣	Brave Sword
勇者の剣	Brave Sword
ざんてつの剣	Armorslayer
斬鉄剣	Armorslayer
つばめがえし	Wing Clipper
ツバメ返し	Wing Clipper
ぎんの剣	Silver Sword
銀の剣	Silver Sword
てつの大剣	Iron Blade
鉄の大剣	Iron Blade
はがねの大剣	Steel Blade
鋼の大剣	Steel Blade
ぎんの大剣	Silver Blade
銀の大剣	Silver Blade
ティルフィング	Tyrfing
バルムンク	Balmung
ミストルティン	Mystletainn
こわれた剣	Broken sword
壊れた剣	Broken sword
てつのやり	Iron Lance
鉄の槍	Iron Lance
ほそみのやり	Slim Lance
細身の槍	Slim Lance
てやり	Javelin
手槍	Javelin
ナイトキラー	Ridersbane
はがねのやり	Steel Lance
鋼の槍	Steel Lance
ゆうしゃのやり	Brave Lance
勇者の槍	Brave Lance
ぎんのやり	Silver Lance
銀の槍	Silver Lance
グングニル	Gungnir
ゲイボルグ	Gáe Bolg
こわれたやり	Broken lance
壊れた槍	Broken lance
てつのおの	Iron Axe
鉄の斧	Iron Axe
ておの	Hand Axe
手斧	Hand Axe
はがねのおの	Steel Axe
鋼の斧	Steel Axe
ゆうしゃのおの	Brave Axe
勇者の斧	Brave Axe
スワンチカ	Helswath
こわれたおの	Broken axe
壊れた斧	Broken axe
てつのゆみ	Iron Bow
鉄の弓	Iron Bow
キラーボウ	Killer Bow
はがねのゆみ	Steel Bow
鋼の弓	Steel Bow
ゆうしゃのゆみ	Brave Bow
勇者の弓	Brave Bow
ぎんのゆみ	Silver Bow
銀の弓	Silver Bow
イチイバル	Yewfelle
こわれたゆみ	Broken bow
壊れた弓	Broken bow
グレートアーチ	Great ballista
ファイアー	Fire
エルファイアー	Elfire
ボルガノン	Bolganone
メティオ	Meteor
ファラフレイム	Valflame
サンダー	Thunder
エルサンダー	Elthunder
トローン	Thoron
サンダーストーム	Bolting
ウインド	Wind
エルウインド	Elwind
トルネード	Tornado
ブリザード	Blizzard
ライトニング	Lightning
オーラ	Aura
ヨツムンガンド	Jormungand
フェンリル	Fenrir
ヘル	Hel
きえたまどう書	Drained tome
消えた魔道書	Drained tome
リターン	Return
ワープ	Warp
レスキュー	Rescue
チャーム	Charm
バサーク	Berserk
壊れた杖	Broken Staff
バルキリー	Valkyria
ライブのうでわ	Renewal band
ライブの腕輪	Renewal band
エリートリング	Paragon band
シーフのうでわ	Thief's band
シーフの腕輪	Thief's band
いのりのうでわ	Miracle band
祈りの腕輪	Miracle band
ついげきリング	Follow-Up Ring
追撃リング	Follow-Up Ring
リカバーリング	Recover Ring
ねぎりのうでわ	Bargain band
値切りの腕輪	Bargain band
ナイトリング	Knight ring
リターンリング	Return band
スピードリング	Speed ring
マジックリング	Magic ring
パワーリング	Power ring
シールドリング	Shield ring
バリアリング	Barrier ring
レッグリング	Leg ring
スキルリング	Skill ring
サークレット	Circlet
太陽剣	Sol
月光剣	Luna
流星剣	Astra
れんぞく	Adept
連続	Adept
ねぎり	Bargain
値切り	Bargain
とつげき	Accost
突撃	Accost
カリスマ	Charm
ひっさつ	Critical
おどる	Dance
踊る	Dance
いのり	Miracle
祈り	Miracle
みきり	Nihil
見切り	Nihil
エリート	Paragon
おおだて	Pavise
ついげき	Follow-Up
追撃	Follow-Up
追撃	Double Attack
ねすむ	Steal
盗む	Steal
まちぶせ	Vantage
待ち伏せ	Vantage
いかり	Wrath
怒り	Wrath
盗賊	Thief
ロイ	Roy
マーカス	Marcus
アレン	Alen
ランス	Lance
ウォルト	Wolt
ボールス	Bors
マリナス	Merlinus
エレン	Elen
ディーク	Dieck
シャニー	Shanna
ワード	Wade
ロット	Lot
チャド	Chad
ルゥ	Lugh
クラリーネ	Clarine
ルトガー	Rutger
サウル	Saul
ドロシー	Dorothy
スー	Sue
ゼロット	Zelot
トレック	Trec
ノア	Noah
アストール	Astolfo
リリーナ	Lilina
ウェンディ	Gwendolyn
バース	Barthe
オージェ	Ogier
フィル	Fir
シン	Sin
ゴンザレス	Gonzalez
ギース	Geese
クレイン	Klein
ティト	Thea
ララム	Larum
エルフィン	Elffin
エキドナ	Echidna
バアトル	Bartre
レイ	Raigh
キャス	Cath
ミレディ	Melady
パーシバル	Perceval
セシリア	Cecilia
ソフィーヤ	Sophia
イグレーヌ	Igrene
ガレット	Garret
ファ	Fae
ヒュウ	Hugh
ツァイス	Zeiss
ダグラス	Douglas
ニイメ	Niime
ダヤン	Dayan
ユーノ	Juno
ヨーデル	Yoder
カレル	Karel
ゼフィール	Zephiel
ナーシェン	Narcian
ゲイル	Galle
マードック	Murdock
ブルーニャ	Brunnya
イドゥン	Idunn
ヤアン	Jahn
ダマス	Damas
ルード	Ruud
スレーター	Slater
エリック	Erik
ドリー	Dory
ワグナー	Wagner
デビアス	Debias
レイガンス	Legance
ヘニング	Henning
スコット	Scott
ノード	Nord
オロ	Orlo
ジンク	Zinque
モルガン	Morgan
アルカルド	Arcardo
ロアーツ	Roartz
フレアー	Flaer
アイン	Ein
ゲレロ	Guerrero
ランディ	Randy
オーツ	Oates
レイス	Raith
ウィンダム	Windham
モンケ	Monke
マーテル	Martel
ケル	Kel
シグーネ	Sigune
トオリル	Thoril
ブラクル	Brakul
クドカ	Kudoka
マラル	Marral
カブル	Kabul
チャン	Chan
ティック	Tick
ペレス	Peres
エリウッド	Eliwood
ヘクトル	Hector
リン	Lyn
ギネヴィア	Guinivere
ハルトムート	Hartmut
ローラン	Roland
テュルバン	Durban
アトス	Athos
エリミーヌ	Elimine
ハノン	Hanon
バリガン	Barigan
ブラミモンド	Bramimond
パント	Pent
オルン	Orun
モルドレッド	Mordred
ミルディン	Myrddin
カルド	Caldo
運命の息吹	Dawn of Destiny
ベルンの王女	The Princess of Bern
後れてきた者	Latecomer's Sorrow
同盟の崩壊	Crumbling League
炎の紋章	Fire Emblem
しかけられた罠	Ensnared
オスティアの反乱	The Ostian Revolt
再会	Reunion
烈火の剣	The Blazing Blade
霧にけむる島	The Misty Isles
あらがう者たち	Western Resistance
西方の勇者	The Hero of the West
対立のはざまで	Amidst a Struggle
自由への脱出	Flight Toward Freedom
真実の敵	The True Enemy
天雷の斧	The Thunder Axe
救出作戦	Rescue Mission
理想郷	Arcadia
業火の理	The Infernal Truth
竜の娘	The Dragon Child
王都奪還	Storming the Capital
至高の光	The Glorious Ascension
海の道	Ocean's Parting
凍てつく河	The Frozen River
冬将軍	Bitter Cold
イリア解放	Ilia's Salvation
氷雪の槍	The Blizzard Spear
司祭の教え	The Bishop's Teachings
サカの掟	The Law of Sacae
ブルガルの攻防	Battle in Bulgar
灰色の狼	The Silver Wolf
疾風の弓	The Tempest Bow
封印の剣	The Binding Blade
黙示の闇	The Elder Revelation
見果てぬ夢	An Undying Dream
ベルンの亡霊	The Ghosts of Bern
伝説の真実	Legends and Lies
暗闇の向こう	Beyond the Darkness
司祭	Bishop
エレブ	Elibe
リキア	Lycia
フェレ	Pherae
オスティア	Ostia
オスティア	Ositia
アラフェン	Araphen
ラウス	Laus
ラウス	Lahus
トリア	Thria
ベルン	Bern
ベルン	Biran
封印の神殿	Shrine of Seals
竜殿	Dragon Sanctuary
西方三島	Western Isles
フィベルニア	Fibernia
カレドニア	Caldonia
ディア	Dia
アルマー	Almar
エブラクム	Eburacum
イディナ	Idina
ジュトー	Jutes
ミスル	Missur
ナバタ	Nabata
エトルリア	Etruria
アクレイア	Aquleia
サカ	Sacae
クトラ	Kutolah
ジュテ	Djute
ブルガル	Bulgar
イリア	Ilia
レーミー	Remy
エデッサ	Edessa
デュランダル	Durandal
封印の剣	Binding Blade
エッケザックス	Eckesachs
マルテ	Maltet
アルマーズ	Armads
ミュルグレ	Murgleis
フォルブレイズ	Forblaze
アーリアル	Aureola
アポカリプス	Apocalypse
聖女の杖	Saint's Staff
フランツ	Franz
ギリアム	Gilliam
ヴァネッサ	Vanessa
モルダ	Moulder
ロス	Ross
ガルシア	Garcia
ネイミー	Neimi
コーマ	Colm
アスレイ	Artur
ルーテ	Lute
ナターシャ	Natasha
ヨシュア	Joshua
エフラム	Ephraim
フォルデ	Forde
カイル	Kyle
オルソン	Orson
ターナ	Tana
アメリア	Amelia
ヒーニアス	Innes
ジスト	Gerik
テティス	Tethys
マリカ	Marisa
ラーチェル	L'Arachel
ドズラ	Dozla
サレフ	Saleh
ユアン	Ewan
クーガー	Cormag
レナック	Rennac
デュッセル	Duessel
ノール	Knoll
ミルラ	Myrrh
シレーネ	Syrene
ケセルダ	Caellach
アーヴ	Riev
セライナ	Selena
グレン	Glen
ヴァルター	Valter
リオン	Lyon
ヴィガルド	Vigarde
フォデス	Fomortiis
オニール	O'Neill
ブレゲ	Breguet
ボン	Bone
バズバ	Bazba
ザール	Saar
ゾンタ	Zonta
ノベラ	Novala
マーレイ	Murray
ティラード	Tirado
ビンクス	Binks
ゲブ	Gheb
ベルナ	Beran
アイアス	Aias
カーライル	Carlyle
パブロ	Pablo
イシュメア	Ismaire
ヘイデン	Hayden
ファード	Fado
クリムト	Klimt
ダラ	Dara
マンセル	Mansel
モルヴァ	Morva
ルネス	Renais
グラド	Grado
ロストン	Rausten
ジャハナ	Jehanna
フレリア	Frelia
カルチノ	Carcino
マギ・ヴァル	Magvel
マギヴァル	Magvel
ヴェルニの塔	Tower Of Valni
ラグドゥ遺跡	Lagdou Ruins
ポカラの里	Caer Pelyn
メレカナ海岸	Melkaen Coast
闇の樹海	Darkling Woods
ジャハナ王宮	Jehanna Hall
国境ミュラン	Border Mulan
イム	Ide
ザッハの古森	Za'ha Woods
ロード	Lord
マスターロード	Great Lord
ディール	Deil
パレス	Palace
アドリア	Adria
レフカンディ	Lefcandith
メニディ	Menedy
サムスーフ	Samsooth
ノルダ	Knorda
港町ワーレン	Port Warren
ワーレン	Warren
クロム	Chrom
ルフレ	Robin
リズ	Lissa
フレデリク	Frederick
ソワレ	Sully
ヴィオール	Virion
ソール	Stahl
ヴェイク	Vaike
ミリエル	Miriel
スミア	Sumia
カラム	Kellam
ドニ	Donnel
ロンクー	Lon'qu
リヒト	Ricken
マリアベル	Maribelle
ベルベット	Panne
ガイア	Gaius
ティアモ	Cordelia
グレゴ	Gregor
ノノ	Nowi
リベラ	Libra
サーリャ	Tharja
オリヴィエ	Olivia
セルジュ	Cherche
ヘンリー	Henry
サイリ	Say'ri
バジーリオ	Basilio
フラヴィア	Flavia
ルキナ	Lucina
ウード	Owain
アズール	Inigo
ブレディ	Brady
デジェル	Kjelle
シンシア	Cynthia
セレナ	Severa
ジェローム	Gerome
マーク	Morgan
シャンブレー	Yarne
ロラン	Laurent
ノワール	Noire
ンン	Nah
ギャンレル	Gangrel
ヴァルハルト	Walhart
エメリナ	Emmeryn
レンハ	Yen'fay
インバース	Aversa
パリス	Priam
ファウダー	Validar
セルバンテス	Cervantes
エクセライ	Excellus
邪竜	Fell Dragon
ギムレー	Grima
ライミ	Raimi
ズィーベン	Equus
フィレイン	Phila
神竜	Divine Dragon
ホラント	Holland
占い爺	Old Hubba
聖王国	Halidom
イーリス	Ylisse
ペレジア	Plegia
フェリア	Ferox
ヴァルム	Valm
ソンシン	Chon'sin
異界の門	Outrealm Gate
異界	Outrealm
戦術師	Tactician
軍師	Tactician
神軍師	Grandmaster
上級軍師	Grandmaster
トリックスター	Trickster
ダークペガサス	Dark Flier
グリフォンナイト	Griffon Rider
ダークナイト	Dark Knight
バトルモンク	War Monk
バトルシスター	War Cleric
村人	Villager
タグエル	Taguel
マムクート	Manakete
スターロード	Lodestar
魔戦士	Dread Fighter
花嫁	Bride
オーバーロード	Conqueror
商人	Merchant
青銅の剣	Bronze Sword
キルソード	Killing Edge
アーマーキラー	Armorslayer
ドラゴンキラー	Wyrmslayer
サンダーソード	Levin Sword
レイピア	Rapier
ノーブルレイピア	Noble Rapier
ミステルトィン	Missiletainn
太陽	Sol
アマツ	Amatsu
封剣ファルシオン	Falchion
神剣ファルシオン	Exalted Falchion
裏剣ファルシオン	Parallel Falchion
メリクルソード	Mercurius Sword
メリクル	Mercurius
ソール・カティ	Sol Katti
ソールカティ	Sol Katti
ラグネル	Ragnell
木の枝	Tree Branch
ガラスの剣	Glass Sword
いやされる剣	Soothing Sword
癒される剣	Soothing Sword
剣殺しの剣	Superior Edge
リーフの宝剣	Leif's Blade
ロイの硬剣	Roy's Blade
エリウッドの鋼剣	Eliwood's Blade
エイリークの疾剣	Eirika's Blade
セリスの神剣	Seliph's Blade
アルムの覇剣	Alm's Blade
青銅の槍	Bronze Lance
キラーランス	Killer Lance
ショートスピア	Short Spear
スレンドスピア	Spear
ビーストキラー	Beast Killer
聖なる槍	Blessed Lance
月光	Luna
グラディウス	Gradvius
ゲイボルグ	G?e Bolg
丸太	Log
ガラスの槍	Glass Lance
極小の槍	Miniature Lance
しびれる槍	Shockstick
槍殺しの槍	Superior Lance
フィンの守槍	Finn's Lance
エフラムの勇槍	Ephraim's Lance
シグルドの鋼槍	Sigurd's Lance
青銅の斧	Bronze Axe
銀の斧	Silver Axe
キラーアクス	Killer Axe
ショートアクス	Short Axe
トマホーク	Tomahawk
ハンマー	Hammer
ボルトアクス	Bolt Axe
復讐	Vengeance
ヴォルフベルグ	Wolf Berg
オートクレール	Hauteclere
おたま	Ladle
ガラスの斧	Glass Axe
極太の斧	Imposing Axe
空投げ斧	Volant Axe
斧殺しの斧	Superior Axe
オーシンの投げ斧	Orsin's Hatchet
ティアマトの赤斧	Titania's Axe
ヘクトルの烈斧	Hector's Axe
青銅の弓	Bronze Bow
せいなるゆみ	Blessed Bow
長弓	Longbow
流星	Astra
パルティア	Parthia
ニーズヘッグ	Nidhogg
バルフレチェ	Double Bow
ゆるんだ弓	Slack Bow
ガラスの弓	Glass Bow
極長の弓	Towering Bow
下剋上の弓	Underdog Bow
弓殺しの弓	Superior Bow
ウォルトの薬弓	Wolt's Bow
ヒーニアスの的弓	Innes' Bow
ギガファイアー	Arcfire
燃え尽きる炎	Dying Blaze
ミカヤの神炎	Micaiah's Pyre
ギガファイアー	Arcwind
レクスカリバー	Rexcalibur
エクスカリバー	Excalibur
気まぐれな風	Wilderwind
セリカの疾風	Celica's Gale
ギガサンダー	Arcthunder
トールハンマー	Mjolnir
魔殺しの雷	Superior Jolt
カタリナの雷糸	Katarina's Bolt
カタリナ	Katarina
ミカヤ	Micaiah
ミィル	Flux
ルイン	Ruin
イル	Waste
スライム	Mire
ゲーティア	Goetia
インバースの暗闇	Aversa's Night
