//バトルアニメ自動配色 GBA ushort PALETTE LITTLEENDIAN  
//自軍色	敵	NPC	Gray
5FBD	6BBE	6F9E	03DE
40D1	0410	1DE6	3D4A
5177	19	1AC6	4DEF
15B6	15B6	3271	4A0E
623F	1E5D	1BE7	62B5
2657	2657	36F6	5EB2
7F7F	431F	4BF9	6F39
0911	45ED	7ECD	04D0
15B3	35D1	35D1	04EF
A9	14A5	018F	A9
7B96	4AFF	4BF9	6AF7
7F2F	25FF	1BE7	62B5
724C	1D	0F40	4DEF
5168	0416	0E41	3149
7F6C	211F	4BC2	7EB6
4F5A	473F	0F99	537B
2E31	19FA	0AD0	3673
7EB7	7EB7	5AFA	5F57
7F2A	129F	2FB2	56F5
6E88	2DD8	0323	4230
59E3	1912	0A41	2DAB
71A7	18	42C0	59AE
7EE5	1F	4BC2	7EB6
4B19	7EB7	4F16	5F57
6BAF	527B	37D5	56F5
4EE9	39D4	22AF	4230
3628	294F	262B	2DAB
2985	1CED	1D68	2148
537B	537B	537B	6B18
3673	3673	3673	4E10
7398	527B	37D5	6296
6735	39D4	22AF	49D0
56B1	294F	262B	3D4C
39CA	1CED	1D68	30E9
7E6B	19DF	0F93	62B4
77F3	779F	67F7	737B
6F89	6EFD	57AF	6718
6F08	5E79	3F25	5694
3141	312D	0DA3	394A
7F50	19DF	0F93	62B4
7F6E	729D	57AF	6718
7EAE	6259	3F25	5694
5441	312D	0DA3	394A
378E	7F33	5AF6	36BE
1E69	7E10	39EE	201F
3FF9	6718	3EBF	7E5A
2773	5A73	10FC	6195
1E2B	458C	0473	3CCE
7AEC	225F	3BD5	6F37
6567	1B	2728	5672
5442	0410	2207	3D4A
7F19	37B9	6BE8	2B3F
7E95	1B69	5AE2	1A3F
658E	01E7	49E2	0558
0FEF	6718	3EBF	7E5A
0F2C	5A73	10FC	6195
05E5	458C	0473	3CCE
776C	1E1D	3BD5	6F37
58A5	0D	19A6	394A
7F76	1BBF	7EDF	4ADE
7E8E	1A9E	6DFB	201F
696B	0531	5934	52
4E7F	72D6	4E9F	7678
10FD	55EF	115F	59B3
0473	414D	0473	3D0F
5EFF	7F18	5AFF	7EDB
0FFC	3BD5	7EDF	4ADE
0DF7	2207	5934	201F
7B50	225F	3BD5	6F37
6A4B	1B	2728	5672
4527	0410	2207	3D4A
6D63	0D	0D82	416B
7FCB	225F	3BF3	7FBD
7F8A	2E5F	3BF3	7FBD
7E27	091D	0B47	7317
4C67	0A	1DC7	456C
5651	562F	5651	562F
41AD	3DAB	41AD	3DAB
3169	3548	3169	3548
2EBB	4797	7F73	2E9F
09B7	36D3	7EAE	0D7E
010E	1DEA	6965	92
7F94	4B7F	57D9	737B
72CE	46FF	2B68	62D6
61A9	1139	2689	49CE
5065	0870	19C5	3D29
CF3F	C797	AE9F	FF73
AE3D	B6D3	0D7E	FEAE
2592	1DEA	92	6965
FFF5	BB3F	D7D9	F37B
FE0A	04D4	A689	49CE
4EFE	4797	2E9F	7F73
2DF8	36D3	0D7E	7EAE
192E	1DEA	92	6965
05D8	1279	7EAE	6A9A
010F	0DB1	6123	4D70
7E4B	051A	2F2B	5A31
77B0	4AFF	53F3	7F9C
7E68	097C	2B68	5652
6DA6	04F5	2689	45AD
54A5	2C	19C5	3D29
22BF	22BF	22BF	22FF
3259	2B68	04BE	1B7F
1D6F	1A29	92	09F7
6BF2	6BF2	6BF2	77F2
6F03	6F03	6F03	6F43
7BB1	115F	33D2	6ED9
6566	14	2268	498B
4484	0C69	1564	34E7
7FCC	531F	3F97	5AF6
7ECF	263D	1BE7	5A72
7108	19	1683	49CD
4C63	11	1183	3929
7FFA	6FBC	77FA	77DD
7733	66F5	6354	6B57
4106	0D	1183	3527
43FB	7F19	2B3F	6BE8
1734	7E95	1A3F	5AE2
020A	658E	0558	49E2
6338	72D9	3FD9	7359
18FA	5E33	1734	5EB3
0C8F	492D	020A	49AD
5294	297F	73FC	72D9
3DEF	18FA	4F38	5E33
2529	0C8F	260D	492D
3D45	0410	19C5	3508
770D	225F	27EA	6F37
69C9	1B	1AC6	5672
40E6	0410	1DE6	3D4A
58D5	1B	1F26	5672
386D	0410	2207	3D4A
5BFF	1F3C	5BFF	1F3C
4B1F	0E78	4B1F	0E78
1592	6B37	1592	6B37
07FF	4E2C	07FF	4E2C
173B	7FFF	173B	7FFF
1677	53DB	1677	53DB
6D9B	2B4A	6D9B	2B4A
4CF2	2267	4CF2	2267
344B	17DE	344B	17DE
093D	235D	093D	235D
54	16B9	54	16B9
438C	09F4	438C	09F4
2E87	054C	2E87	054C
